,outcome,age_range,self_defined_ethnicity,gender,datetime,outcome_object_id,outcome_object_name,latitude,longitude,type,officer_defined_ethnicity,object_of_search
4117,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2020-07-03T03:22:48+00:00,bu-no-further-action,A no further action disposal,51.522017,-0.109582,Person search,White,Article for use in theft
4118,A no further action disposal,18-24,Asian/Asian British - Bangladeshi,Male,2020-07-09T07:57:23+00:00,bu-no-further-action,A no further action disposal,51.513928,-0.108231,Person search,Asian,Controlled drugs
4119,Summons / charged by post,18-24,Asian/Asian British - Bangladeshi,Male,2020-07-09T08:07:41+00:00,bu-summons,Summons / charged by post,51.513928,-0.108231,Person and Vehicle search,Asian,Controlled drugs
4120,A no further action disposal,over 34,White - Any other White background,Male,2020-07-27T10:49:23+00:00,bu-no-further-action,A no further action disposal,51.513928,-0.108231,Person search,White,Article for use in theft
4121,A no further action disposal,18-24,Black/African/Caribbean/Black British - African,Male,2020-07-04T10:54:43+00:00,bu-no-further-action,A no further action disposal,51.522233,-0.10738199999999999,Person search,Black,Controlled drugs
4122,A no further action disposal,25-34,White - Any other White background,Male,2020-07-09T02:56:14+00:00,bu-no-further-action,A no further action disposal,51.513905,-0.10621400000000002,Person search,White,Article for use in theft
4123,A no further action disposal,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2020-07-28T11:07:08+00:00,bu-no-further-action,A no further action disposal,51.513905,-0.10621400000000002,Person and Vehicle search,White,Controlled drugs
4124,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2020-07-03T01:13:57+00:00,bu-no-further-action,A no further action disposal,51.516966,-0.1059,Person search,Asian,Controlled drugs
4125,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2020-07-07T00:47:23+00:00,bu-no-further-action,A no further action disposal,51.516966,-0.1059,Person search,Black,Offensive weapons
4126,A no further action disposal,25-34,Black/African/Caribbean/Black British - African,Male,2020-07-07T03:14:43+00:00,bu-no-further-action,A no further action disposal,51.516966,-0.1059,Person search,Black,Offensive weapons
4127,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2020-07-19T01:05:10+00:00,bu-no-further-action,A no further action disposal,51.516966,-0.1059,Person and Vehicle search,Other,Controlled drugs
4128,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2020-07-10T02:23:39+00:00,bu-no-further-action,A no further action disposal,51.513051000000004,-0.104001,Person search,White,Offensive weapons
4129,A no further action disposal,over 34,Other ethnic group - Not stated,Male,2020-07-27T11:22:39+00:00,bu-no-further-action,A no further action disposal,51.516733,-0.104252,Person search,Other,Stolen goods
4130,Arrest,25-34,Asian/Asian British - Pakistani,Male,2020-07-21T00:38:57+00:00,bu-arrest,Arrest,51.519312,-0.10359700000000001,Person search,Asian,Controlled drugs
4131,Arrest,25-34,Other ethnic group - Not stated,Male,2020-07-21T02:04:57+00:00,bu-arrest,Arrest,51.519312,-0.10359700000000001,Person search,Asian,Controlled drugs
4132,A no further action disposal,18-24,White - Any other White background,Male,2020-07-09T07:38:50+00:00,bu-no-further-action,A no further action disposal,51.518375,-0.10293,Person and Vehicle search,White,Controlled drugs
4133,A no further action disposal,,,Male,2020-07-29T06:13:56+00:00,bu-no-further-action,A no further action disposal,51.518375,-0.10293,Person search,,Article for use in theft
4134,Arrest,over 34,White - English/Welsh/Scottish/Northern Irish/British,Female,2020-07-01T03:10:05+00:00,bu-arrest,Arrest,51.512116999999996,-0.10241099999999999,Person and Vehicle search,White,Controlled drugs
4135,Arrest,25-34,White - English/Welsh/Scottish/Northern Irish/British,Male,2020-07-01T03:16:33+00:00,bu-arrest,Arrest,51.512116999999996,-0.10241099999999999,Person search,White,Controlled drugs
4136,A no further action disposal,18-24,Other ethnic group - Not stated,Male,2020-07-17T00:53:54+00:00,bu-no-further-action,A no further action disposal,51.519703,-0.101649,Person and Vehicle search,Asian,Controlled drugs
4137,A no further action disposal,18-24,Asian/Asian British - Any other Asian background,Male,2020-07-17T00:59:09+00:00,bu-no-further-action,A no further action disposal,51.519703,-0.101649,Person search,Asian,Controlled drugs
4138,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2020-07-22T05:40:03+00:00,bu-no-further-action,A no further action disposal,51.519703,-0.101649,Person and Vehicle search,Asian,Controlled drugs
4139,A no further action disposal,25-34,Asian/Asian British - Any other Asian background,Male,2020-07-08T06:04:54+00:00,bu-no-further-action,A no further action disposal,51.518709,-0.101345,Person and Vehicle search,Other,Controlled drugs
4140,Arrest,25-34,,Male,2020-07-14T01:03:17+00:00,bu-arrest,Arrest,51.51265,-0.101452,Person search,,Article for use in theft
4141,A no further action disposal,25-34,Other ethnic group - Not stated,Male,2020-07-15T08:55:16+00:00,bu-no-further-action,A no further action disposal,51.51265,-0.101452,Person search,White,Article for use in theft
4142,A no further action disposal,,,Male,2020-07-13T04:09:18+00:00,bu-no-further-action,A no further action disposal,51.510913,-0.101395,Person search,,Controlled drugs
